Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population,DeathCount,Code
Oregon,Lung and Bronchus,2017,Male and Female,All Races,48.4,2640,4146592,1865,OR
Pennsylvania,Lung and Bronchus,2017,Male and Female,All Races,61.7,10929,12790447,6910,PA
Rhode Island,Lung and Bronchus,2017,Male and Female,All Races,61.8,859,1056486,556,RI
South Carolina,Lung and Bronchus,2017,Male and Female,All Races,61.6,4137,5021219,2700,SC
South Dakota,Lung and Bronchus,2017,Male and Female,All Races,55.9,601,873286,422,SD
Tennessee,Lung and Bronchus,2017,Male and Female,All Races,70.9,6044,6708794,4001,TN
Texas,Lung and Bronchus,2017,Male and Female,All Races,47.8,13427,28322717,9109,TX
Utah,Lung and Bronchus,2017,Male and Female,All Races,25.1,672,3103118,451,UT
Vermont,Lung and Bronchus,2017,Male and Female,All Races,56.5,506,624525,356,VT
Virginia,Lung and Bronchus,2017,Male and Female,All Races,51.3,5219,8465207,3710,VA
Washington,Lung and Bronchus,2017,Male and Female,All Races,49.6,4349,7425432,2928,WA
West Virginia,Lung and Bronchus,2017,Male and Female,All Races,81.3,2176,1817048,1338,WV
Wisconsin,Lung and Bronchus,2017,Male and Female,All Races,56,4234,5792051,2802,WI
Wyoming,Lung and Bronchus,2017,Male and Female,All Races,39.6,281,578934,216,WY
Alabama,Melanomas of the Skin,2017,Male and Female,All Races,22.8,1331,4875120,135,AL
Alaska,Melanomas of the Skin,2017,Male and Female,All Races,11.5,81,739786,Na,AK
Arizona,Melanomas of the Skin,2017,Male and Female,All Races,29.7,2513,7048876,190,AZ
Arkansas,Melanomas of the Skin,2017,Male and Female,All Races,22.8,812,3002997,59,AR
California,Melanomas of the Skin,2017,Male and Female,All Races,22.5,9730,39399349,821,CA
Colorado,Melanomas of the Skin,2017,Male and Female,All Races,22.2,1339,5615902,162,CO
Connecticut,Melanomas of the Skin,2017,Male and Female,All Races,18.7,851,3573880,80,CT
Delaware,Melanomas of the Skin,2017,Male and Female,All Races,28.2,344,957078,29,DE
District of Columbia,Melanomas of the Skin,2017,Male and Female,All Races,10.8,75,695691,Na,DC
Florida,Melanomas of the Skin,2017,Male and Female,All Races,24.6,7095,20976812,627,FL
Georgia,Melanomas of the Skin,2017,Male and Female,All Races,26.3,2940,10413055,201,GA
Hawaii,Melanomas of the Skin,2017,Male and Female,All Races,20.5,372,1424203,18,HI
Idaho,Melanomas of the Skin,2017,Male and Female,All Races,27.3,522,1718904,48,ID
Illinois,Melanomas of the Skin,2017,Male and Female,All Races,22.7,3288,12786196,300,IL
Indiana,Melanomas of the Skin,2017,Male and Female,All Races,22.1,1676,6660082,184,IN
Iowa,Melanomas of the Skin,2017,Male and Female,All Races,28.4,1035,3143637,107,IA
Kansas,Melanomas of the Skin,2017,Male and Female,All Races,28.6,934,2910689,77,KS
Kentucky,Melanomas of the Skin,2017,Male and Female,All Races,27.3,1400,4453874,146,KY
Louisiana,Melanomas of the Skin,2017,Male and Female,All Races,18.4,963,4670818,77,LA
Maine,Melanomas of the Skin,2017,Male and Female,All Races,25.2,446,1335063,46,ME
Maryland,Melanomas of the Skin,2017,Male and Female,All Races,25.2,1768,6024891,112,MD
Massachusetts,Melanomas of the Skin,2017,Male and Female,All Races,26.3,2182,6863246,200,MA
Michigan,Melanomas of the Skin,2017,Male and Female,All Races,20.7,2483,9976447,257,MI
Minnesota,Melanomas of the Skin,2017,Male and Female,All Races,35,2214,5568155,122,MN
Mississippi,Melanomas of the Skin,2017,Male and Female,All Races,19.7,677,2989663,68,MS
Missouri,Melanomas of the Skin,2017,Male and Female,All Races,19.7,1391,6108612,174,MO
Montana,Melanomas of the Skin,2017,Male and Female,All Races,29.6,384,1053090,35,MT
Nebraska,Melanomas of the Skin,2017,Male and Female,All Races,29.5,610,1917575,50,NE
Nevada,Melanomas of the Skin,2017,Male and Female,All Races,22.3,761,2972405,82,NV
New Hampshire,Melanomas of the Skin,2017,Male and Female,All Races,35.2,618,1349767,54,NH
New Jersey,Melanomas of the Skin,2017,Male and Female,All Races,22.9,2464,8888543,210,NJ
New Mexico,Melanomas of the Skin,2017,Male and Female,All Races,18.4,467,2093395,50,NM
New York,Melanomas of the Skin,2017,Male and Female,All Races,17.9,4194,19590719,401,NY
North Carolina,Melanomas of the Skin,2017,Male and Female,All Races,25.5,3061,10270800,252,NC
North Dakota,Melanomas of the Skin,2017,Male and Female,All Races,24.2,197,755176,21,ND
Ohio,Melanomas of the Skin,2017,Male and Female,All Races,23.9,3342,11664129,384,OH
Oklahoma,Melanomas of the Skin,2017,Male and Female,All Races,21.7,964,3932640,118,OK
Oregon,Melanomas of the Skin,2017,Male and Female,All Races,25.5,1291,4146592,133,OR
Pennsylvania,Melanomas of the Skin,2017,Male and Female,All Races,21.4,3475,12790447,405,PA
Rhode Island,Melanomas of the Skin,2017,Male and Female,All Races,20.9,277,1056486,29,RI
South Carolina,Melanomas of the Skin,2017,Male and Female,All Races,23.8,1466,5021219,127,SC
South Dakota,Melanomas of the Skin,2017,Male and Female,All Races,27.7,278,873286,26,SD
Tennessee,Melanomas of the Skin,2017,Male and Female,All Races,19.7,1542,6708794,213,TN
Texas,Melanomas of the Skin,2017,Male and Female,All Races,13.3,3754,28322717,495,TX
Utah,Melanomas of the Skin,2017,Male and Female,All Races,39,1067,3103118,68,UT
Vermont,Melanomas of the Skin,2017,Male and Female,All Races,39.5,320,624525,17,VT
Virginia,Melanomas of the Skin,2017,Male and Female,All Races,21.8,2110,8465207,190,VA
Washington,Melanomas of the Skin,2017,Male and Female,All Races,26.3,2228,7425432,192,WA
West Virginia,Melanomas of the Skin,2017,Male and Female,All Races,23.2,552,1817048,71,WV
Wisconsin,Melanomas of the Skin,2017,Male and Female,All Races,23.6,1639,5792051,153,WI
Wyoming,Melanomas of the Skin,2017,Male and Female,All Races,23.8,163,578934,24,WY
Alabama,Mesothelioma,2017,Male and Female,All Races,0.6,38,4875120,43,AL
Alaska,Mesothelioma,2017,Male and Female,All Races,1,Na,739786,Na,AK
Arizona,Mesothelioma,2017,Male and Female,All Races,0.7,58,7048876,52,AZ
Arkansas,Mesothelioma,2017,Male and Female,All Races,0.8,29,3002997,17,AR
California,Mesothelioma,2017,Male and Female,All Races,0.8,328,39399349,247,CA
Colorado,Mesothelioma,2017,Male and Female,All Races,0.7,40,5615902,37,CO
Connecticut,Mesothelioma,2017,Male and Female,All Races,0.8,39,3573880,41,CT
Delaware,Mesothelioma,2017,Male and Female,All Races,1.5,19,957078,19,DE
District of Columbia,Mesothelioma,2017,Male and Female,All Races,1,Na,695691,Na,DC
Florida,Mesothelioma,2017,Male and Female,All Races,0.6,204,20976812,182,FL
Georgia,Mesothelioma,2017,Male and Female,All Races,0.6,67,10413055,43,GA
Hawaii,Mesothelioma,2017,Male and Female,All Races,1,Na,1424203,Na,HI
Idaho,Mesothelioma,2017,Male and Female,All Races,1.4,28,1718904,22,ID
Illinois,Mesothelioma,2017,Male and Female,All Races,0.8,123,12786196,116,IL
Indiana,Mesothelioma,2017,Male and Female,All Races,0.7,54,6660082,59,IN
Iowa,Mesothelioma,2017,Male and Female,All Races,0.8,31,3143637,27,IA
Kansas,Mesothelioma,2017,Male and Female,All Races,0.6,18,2910689,20,KS
Kentucky,Mesothelioma,2017,Male and Female,All Races,0.6,30,4453874,35,KY
Louisiana,Mesothelioma,2017,Male and Female,All Races,1.2,62,4670818,43,LA
Maine,Mesothelioma,2017,Male and Female,All Races,1.4,27,1335063,23,ME
Maryland,Mesothelioma,2017,Male and Female,All Races,0.9,62,6024891,45,MD
Massachusetts,Mesothelioma,2017,Male and Female,All Races,1,84,6863246,79,MA
Michigan,Mesothelioma,2017,Male and Female,All Races,0.9,109,9976447,108,MI
Minnesota,Mesothelioma,2017,Male and Female,All Races,1,65,5568155,61,MN
Mississippi,Mesothelioma,2017,Male and Female,All Races,0.7,24,2989663,18,MS
Missouri,Mesothelioma,2017,Male and Female,All Races,0.7,53,6108612,41,MO
Montana,Mesothelioma,2017,Male and Female,All Races,1.9,26,1053090,21,MT
Nebraska,Mesothelioma,2017,Male and Female,All Races,0.8,16,1917575,Na,NE
Nevada,Mesothelioma,2017,Male and Female,All Races,0.8,29,2972405,16,NV
New Hampshire,Mesothelioma,2017,Male and Female,All Races,1.2,20,1349767,Na,NH
New Jersey,Mesothelioma,2017,Male and Female,All Races,1,106,8888543,98,NJ
New Mexico,Mesothelioma,2017,Male and Female,All Races,0.6,17,2093395,Na,NM
New York,Mesothelioma,2017,Male and Female,All Races,0.8,185,19590719,130,NY
North Carolina,Mesothelioma,2017,Male and Female,All Races,0.5,64,10270800,59,NC
North Dakota,Mesothelioma,2017,Male and Female,All Races,1,Na,755176,Na,ND
Ohio,Mesothelioma,2017,Male and Female,All Races,0.9,134,11664129,134,OH
Oklahoma,Mesothelioma,2017,Male and Female,All Races,0.9,40,3932640,34,OK
Oregon,Mesothelioma,2017,Male and Female,All Races,0.8,42,4146592,41,OR
Pennsylvania,Mesothelioma,2017,Male and Female,All Races,1.1,185,12790447,162,PA
Rhode Island,Mesothelioma,2017,Male and Female,All Races,1,Na,1056486,19,RI
South Carolina,Mesothelioma,2017,Male and Female,All Races,0.6,36,5021219,45,SC
South Dakota,Mesothelioma,2017,Male and Female,All Races,1,Na,873286,Na,SD
Tennessee,Mesothelioma,2017,Male and Female,All Races,0.7,54,6708794,55,TN
Texas,Mesothelioma,2017,Male and Female,All Races,0.6,178,28322717,115,TX
Utah,Mesothelioma,2017,Male and Female,All Races,1.1,29,3103118,Na,UT
Vermont,Mesothelioma,2017,Male and Female,All Races,1,Na,624525,Na,VT
Virginia,Mesothelioma,2017,Male and Female,All Races,1,99,8465207,78,VA
Washington,Mesothelioma,2017,Male and Female,All Races,1.2,98,7425432,89,WA
West Virginia,Mesothelioma,2017,Male and Female,All Races,1.1,26,1817048,22,WV
Wisconsin,Mesothelioma,2017,Male and Female,All Races,1.1,79,5792051,70,WI
Wyoming,Mesothelioma,2017,Male and Female,All Races,1,Na,578934,Na,WY
Alabama,Myeloma,2017,Male and Female,All Races,7.1,443,4875120,208,AL
Alaska,Myeloma,2017,Male and Female,All Races,5.1,38,739786,Na,AK
Arizona,Myeloma,2017,Male and Female,All Races,4.7,419,7048876,260,AZ
Arkansas,Myeloma,2017,Male and Female,All Races,7.1,269,3002997,120,AR
California,Myeloma,2017,Male and Female,All Races,5.8,2529,39399349,1212,CA
Colorado,Myeloma,2017,Male and Female,All Races,6.4,394,5615902,178,CO
Connecticut,Myeloma,2017,Male and Female,All Races,6.6,307,3573880,120,CT
Delaware,Myeloma,2017,Male and Female,All Races,6.3,81,957078,46,DE
District of Columbia,Myeloma,2017,Male and Female,All Races,11.1,74,695691,30,DC
Florida,Myeloma,2017,Male and Female,All Races,7.6,2301,20976812,879,FL
Georgia,Myeloma,2017,Male and Female,All Races,8.3,938,10413055,383,GA
Hawaii,Myeloma,2017,Male and Female,All Races,5.3,99,1424203,46,HI
Idaho,Myeloma,2017,Male and Female,All Races,6.8,137,1718904,78,ID
Illinois,Myeloma,2017,Male and Female,All Races,6.5,1003,12786196,479,IL
Indiana,Myeloma,2017,Male and Female,All Races,6.1,480,6660082,259,IN
Iowa,Myeloma,2017,Male and Female,All Races,7.2,293,3143637,163,IA
Kansas,Myeloma,2017,Male and Female,All Races,5.9,206,2910689,102,KS
Kentucky,Myeloma,2017,Male and Female,All Races,7.2,386,4453874,175,KY
Louisiana,Myeloma,2017,Male and Female,All Races,7.5,412,4670818,202,LA
Maine,Myeloma,2017,Male and Female,All Races,6.3,131,1335063,68,ME
Maryland,Myeloma,2017,Male and Female,All Races,8.1,577,6024891,258,MD
Massachusetts,Myeloma,2017,Male and Female,All Races,6.3,539,6863246,250,MA
Michigan,Myeloma,2017,Male and Female,All Races,6.5,818,9976447,467,MI
Minnesota,Myeloma,2017,Male and Female,All Races,6.2,419,5568155,189,MN
Mississippi,Myeloma,2017,Male and Female,All Races,8.5,308,2989663,145,MS
Missouri,Myeloma,2017,Male and Female,All Races,6.5,506,6108612,240,MO
Montana,Myeloma,2017,Male and Female,All Races,6.9,97,1053090,44,MT
Nebraska,Myeloma,2017,Male and Female,All Races,5.7,129,1917575,69,NE
Nevada,Myeloma,2017,Male and Female,All Races,5.3,184,2972405,78,NV
New Hampshire,Myeloma,2017,Male and Female,All Races,5.7,102,1349767,54,NH
New Jersey,Myeloma,2017,Male and Female,All Races,7.5,838,8888543,324,NJ
New Mexico,Myeloma,2017,Male and Female,All Races,5.2,137,2093395,78,NM
New York,Myeloma,2017,Male and Female,All Races,8,1958,19590719,728,NY
North Carolina,Myeloma,2017,Male and Female,All Races,7.6,964,10270800,431,NC
North Dakota,Myeloma,2017,Male and Female,All Races,6.2,54,755176,25,ND
Ohio,Myeloma,2017,Male and Female,All Races,5.9,869,11664129,533,OH
Oklahoma,Myeloma,2017,Male and Female,All Races,5.9,275,3932640,142,OK
Oregon,Myeloma,2017,Male and Female,All Races,5.7,301,4146592,167,OR
Pennsylvania,Myeloma,2017,Male and Female,All Races,7,1193,12790447,567,PA
Rhode Island,Myeloma,2017,Male and Female,All Races,5.9,80,1056486,40,RI
South Carolina,Myeloma,2017,Male and Female,All Races,7.1,452,5021219,253,SC
South Dakota,Myeloma,2017,Male and Female,All Races,6.2,73,873286,43,SD
Tennessee,Myeloma,2017,Male and Female,All Races,6.7,557,6708794,273,TN
Texas,Myeloma,2017,Male and Female,All Races,7.3,2033,28322717,915,TX
Utah,Myeloma,2017,Male and Female,All Races,6.9,187,3103118,75,UT
Vermont,Myeloma,2017,Male and Female,All Races,4.5,40,624525,21,VT
Virginia,Myeloma,2017,Male and Female,All Races,6,598,8465207,328,VA
Washington,Myeloma,2017,Male and Female,All Races,6.4,549,7425432,244,WA
West Virginia,Myeloma,2017,Male and Female,All Races,5,133,1817048,81,WV
Wisconsin,Myeloma,2017,Male and Female,All Races,6.4,478,5792051,223,WI
Wyoming,Myeloma,2017,Male and Female,All Races,5.6,40,578934,16,WY
Alabama,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16,957,4875120,302,AL
Alaska,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.5,118,739786,33,AK
Arizona,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,14.7,1274,7048876,389,AZ
Arkansas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.8,684,3002997,194,AR
California,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.5,7511,39399349,2222,CA
Colorado,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.4,1043,5615902,267,CO
Connecticut,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,21.1,954,3573880,238,CT
Delaware,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.4,216,957078,67,DE
District of Columbia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,13.8,93,695691,35,DC
Florida,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,20.6,5949,20976812,1550,FL
Georgia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.5,1934,10413055,515,GA
Hawaii,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.8,301,1424203,86,HI
Idaho,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18,351,1718904,119,ID
Illinois,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19,2814,12786196,784,IL
Indiana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.4,1344,6660082,446,IN
Iowa,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,20.7,788,3143637,241,IA
Kansas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.5,626,2910689,177,KS
Kentucky,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.5,1051,4453874,340,KY
Louisiana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19,1000,4670818,277,LA
Maine,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,20.7,388,1335063,120,ME
Maryland,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.6,1306,6024891,349,MD
Massachusetts,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.3,1538,6863246,454,MA
Michigan,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.3,2257,9976447,687,MI
Minnesota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,21.1,1389,5568155,420,MN
Mississippi,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.4,562,2989663,161,MS
Missouri,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.3,1388,6108612,446,MO
Montana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.8,247,1053090,85,MT
Nebraska,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,22.2,500,1917575,135,NE
Nevada,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.3,562,2972405,174,NV
New Hampshire,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,20.1,354,1349767,92,NH
New Jersey,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,21.5,2320,8888543,574,NJ
New Mexico,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,13.9,360,2093395,118,NM
New York,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,21.3,5029,19590719,1317,NY
North Carolina,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.9,2060,10270800,597,NC
North Dakota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,21.1,179,755176,42,ND
Ohio,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.9,2724,11664129,859,OH
Oklahoma,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.6,795,3932640,284,OK
Oregon,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.4,890,4146592,280,OR
Pennsylvania,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.9,3286,12790447,1031,PA
Rhode Island,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,15.3,206,1056486,78,RI
South Carolina,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16,993,5021219,295,SC
South Dakota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.3,203,873286,70,SD
Tennessee,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.5,1414,6708794,445,TN
Texas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.8,4688,28322717,1347,TX
Utah,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,18.5,495,3103118,132,UT
Vermont,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,17.3,149,624525,44,VT
Virginia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,16.5,1611,8465207,460,VA
Washington,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.1,1607,7425432,449,WA
West Virginia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.2,476,1817048,162,WV
Wisconsin,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,19.5,1400,5792051,444,WI
Wyoming,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,15,103,578934,26,WY
Alabama,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.9,802,4875120,178,AL
Alaska,Oral Cavity and Pharynx,2017,Male and Female,All Races,10.8,83,739786,18,AK
Arizona,Oral Cavity and Pharynx,2017,Male and Female,All Races,8.7,765,7048876,181,AZ
Arkansas,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.5,509,3002997,107,AR
California,Oral Cavity and Pharynx,2017,Male and Female,All Races,9.7,4301,39399349,1050,CA
Colorado,Oral Cavity and Pharynx,2017,Male and Female,All Races,10.7,681,5615902,144,CO
Connecticut,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.9,556,3573880,99,CT
Delaware,Oral Cavity and Pharynx,2017,Male and Female,All Races,10.8,139,957078,38,DE
District of Columbia,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.1,82,695691,Na,DC
Florida,Oral Cavity and Pharynx,2017,Male and Female,All Races,13,3822,20976812,829,FL
Georgia,Oral Cavity and Pharynx,2017,Male and Female,All Races,12,1413,10413055,313,GA
Hawaii,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.4,217,1424203,53,HI
Idaho,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.5,235,1718904,46,ID
Illinois,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.4,1911,12786196,412,IL
Indiana,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.4,981,6660082,226,IN
Iowa,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.3,522,3143637,119,IA
Kansas,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.1,388,2910689,97,KS
Kentucky,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.2,738,4453874,163,KY
Louisiana,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.1,723,4670818,176,LA
Maine,Oral Cavity and Pharynx,2017,Male and Female,All Races,14.8,279,1335063,46,ME
Maryland,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.5,849,6024891,177,MD
Massachusetts,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.9,1033,6863246,209,MA
Michigan,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.7,1501,9976447,340,MI
Minnesota,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.9,867,5568155,167,MN
Mississippi,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.9,499,2989663,110,MS
Missouri,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.3,1030,6108612,211,MO
Montana,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.5,175,1053090,44,MT
Nebraska,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.6,308,1917575,57,NE
Nevada,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.5,406,2972405,87,NV
New Hampshire,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.6,209,1349767,53,NH
New Jersey,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.7,1304,8888543,209,NJ
New Mexico,Oral Cavity and Pharynx,2017,Male and Female,All Races,8.7,224,2093395,70,NM
New York,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.2,2718,19590719,542,NY
North Carolina,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.3,1552,10270800,328,NC
North Dakota,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.8,107,755176,Na,ND
Ohio,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.4,1832,11664129,422,OH
Oklahoma,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.6,541,3932640,142,OK
Oregon,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.8,634,4146592,145,OR
Pennsylvania,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.2,2086,12790447,436,PA
Rhode Island,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.4,160,1056486,31,RI
South Carolina,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.8,824,5021219,194,SC
South Dakota,Oral Cavity and Pharynx,2017,Male and Female,All Races,13.1,138,873286,29,SD
Tennessee,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.4,1039,6708794,221,TN
Texas,Oral Cavity and Pharynx,2017,Male and Female,All Races,10.6,3127,28322717,719,TX
Utah,Oral Cavity and Pharynx,2017,Male and Female,All Races,8.5,244,3103118,45,UT
Vermont,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.3,110,624525,16,VT
Virginia,Oral Cavity and Pharynx,2017,Male and Female,All Races,11,1121,8465207,259,VA
Washington,Oral Cavity and Pharynx,2017,Male and Female,All Races,12.3,1074,7425432,244,WA
West Virginia,Oral Cavity and Pharynx,2017,Male and Female,All Races,14.1,346,1817048,74,WV
Wisconsin,Oral Cavity and Pharynx,2017,Male and Female,All Races,11.7,868,5792051,202,WI
Wyoming,Oral Cavity and Pharynx,2017,Male and Female,All Races,12,84,578934,19,WY
Alabama,Ovary,2017,Female,All Races,11,344,2516043,233,AL
Alaska,Ovary,2017,Female,All Races,7.8,31,353363,17,AK
Arizona,Ovary,2017,Female,All Races,10,433,3544856,311,AZ
Arkansas,Ovary,2017,Female,All Races,11.4,211,1527580,155,AR
California,Ovary,2017,Female,All Races,10.4,2374,19817679,1635,CA
Colorado,Ovary,2017,Female,All Races,10,308,2789162,192,CO
Connecticut,Ovary,2017,Female,All Races,9.9,238,1830414,155,CT
Delaware,Ovary,2017,Female,All Races,10.1,68,494227,46,DE
District of Columbia,Ovary,2017,Female,All Races,10.4,38,365633,24,DC
Florida,Ovary,2017,Female,All Races,10.6,1565,10720481,1022,FL
Georgia,Ovary,2017,Female,All Races,10.1,608,5346767,388,GA
Hawaii,Ovary,2017,Female,All Races,9.4,80,710021,43,HI
Idaho,Ovary,2017,Female,All Races,9.8,97,857853,68,ID
Illinois,Ovary,2017,Female,All Races,10.4,811,6504145,597,IL
Indiana,Ovary,2017,Female,All Races,9.5,387,3376776,308,IN
Iowa,Ovary,2017,Female,All Races,10.1,202,1579859,159,IA
Kansas,Ovary,2017,Female,All Races,10.6,183,1460471,139,KS
Kentucky,Ovary,2017,Female,All Races,8.9,242,2259543,171,KY
Louisiana,Ovary,2017,Female,All Races,9.2,255,2388820,181,LA
Maine,Ovary,2017,Female,All Races,9.2,89,681341,82,ME
Maryland,Ovary,2017,Female,All Races,10.5,416,3104138,245,MD
Massachusetts,Ovary,2017,Female,All Races,9.2,420,3532186,337,MA
Michigan,Ovary,2017,Female,All Races,9.3,606,5065155,441,MI
Minnesota,Ovary,2017,Female,All Races,10,337,2795630,217,MN
Mississippi,Ovary,2017,Female,All Races,9.4,174,1539413,141,MS
Missouri,Ovary,2017,Female,All Races,9.2,357,3109948,252,MO
Montana,Ovary,2017,Female,All Races,10.3,64,522925,45,MT
Nebraska,Ovary,2017,Female,All Races,9.7,104,960319,89,NE
Nevada,Ovary,2017,Female,All Races,10,178,1481115,130,NV
New Hampshire,Ovary,2017,Female,All Races,9,91,681409,72,NH
New Jersey,Ovary,2017,Female,All Races,11.2,651,4548298,418,NJ
New Mexico,Ovary,2017,Female,All Races,11.1,145,1057085,97,NM
New York,Ovary,2017,Female,All Races,11.5,1460,10079494,890,NY
North Carolina,Ovary,2017,Female,All Races,9.5,613,5272479,440,NC
North Dakota,Ovary,2017,Female,All Races,8.1,35,368134,26,ND
Ohio,Ovary,2017,Female,All Races,10,761,5947760,547,OH
Oklahoma,Ovary,2017,Female,All Races,11.3,267,1984478,204,OK
Oregon,Ovary,2017,Female,All Races,10.8,287,2091356,238,OR
Pennsylvania,Ovary,2017,Female,All Races,11.4,986,6526911,678,PA
Rhode Island,Ovary,2017,Female,All Races,9.4,64,542930,55,RI
South Carolina,Ovary,2017,Female,All Races,8,262,2585760,188,SC
South Dakota,Ovary,2017,Female,All Races,11.1,63,432265,51,SD
Tennessee,Ovary,2017,Female,All Races,9.7,421,3435687,321,TN
Texas,Ovary,2017,Female,All Races,10,1502,14250938,927,TX
Utah,Ovary,2017,Female,All Races,11.3,162,1540313,101,UT
Vermont,Ovary,2017,Female,All Races,7.4,35,316120,28,VT
Virginia,Ovary,2017,Female,All Races,8.6,453,4299620,392,VA
Washington,Ovary,2017,Female,All Races,9.6,417,3711772,311,WA
West Virginia,Ovary,2017,Female,All Races,10.9,138,917552,97,WV
Wisconsin,Ovary,2017,Female,All Races,10.2,382,2911661,258,WI
Wyoming,Ovary,2017,Female,All Races,11,37,283606,31,WY
Alabama,Pancreas,2017,Male and Female,All Races,11.9,733,4875120,714,AL
Alaska,Pancreas,2017,Male and Female,All Races,12.7,88,739786,61,AK
Arizona,Pancreas,2017,Male and Female,All Races,11.7,1052,7048876,923,AZ
Arkansas,Pancreas,2017,Male and Female,All Races,13.3,503,3002997,423,AR
California,Pancreas,2017,Male and Female,All Races,11.7,5097,39399349,4526,CA
