Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population
Rhode Island,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.3,78,1056486
Minnesota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.2,420,5568155
Florida,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.9,1550,20976812
Oklahoma,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.2,284,3932640
Maryland,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5,349,6024891
North Carolina,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5,597,10270800
South Dakota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.3,70,873286
Missouri,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.8,446,6108612
Maine,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.1,120,1335063
Kansas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.1,177,2910689
Hawaii,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.5,86,1424203
District of Columbia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.5,35,695691
North Dakota,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.7,42,755176
Delaware,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.5,67,957078
Nebraska,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6,135,1917575
Arkansas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.3,194,3002997
Iowa,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.9,241,3143637
Wisconsin,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6,444,5792051
Pennsylvania,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.9,1031,12790447
Kentucky,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.3,340,4453874
Alabama,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.1,302,4875120
South Carolina,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.8,295,5021219
Louisiana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.3,277,4670818
Vermont,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,44,624525
Arizona,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.4,389,7048876
Ohio,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.8,859,11664129
New Jersey,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.2,574,8888543
New Hampshire,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,92,1349767
New York,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,1317,19590719
Illinois,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.2,784,12786196
Indiana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.7,446,6660082
Massachusetts,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,454,6863246
Michigan,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.5,687,9976447
Connecticut,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.1,238,3573880
Nevada,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.5,87,2972405
Idaho,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.3,46,1718904
Wyoming,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,19,578934
Colorado,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.2,144,5615902
Georgia,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,313,10413055
Montana,Oral Cavity and Pharynx,2017,Male and Female,All Races,3,44,1053090
Texas,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.5,719,28322717
Utah,Oral Cavity and Pharynx,2017,Male and Female,All Races,1.7,45,3103118
New Mexico,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,70,2093395
California,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,1050,39399349
Alaska,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.3,18,739786
Oregon,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,145,4146592
Virginia,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,259,8465207
Mississippi,Oral Cavity and Pharynx,2017,Male and Female,All Races,3,110,2989663
West Virginia,Oral Cavity and Pharynx,2017,Male and Female,All Races,3,74,1817048
Washington,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,244,7425432
Tennessee,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,221,6708794
Rhode Island,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,31,1056486
Minnesota,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,167,5568155
Florida,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,829,20976812
Oklahoma,Oral Cavity and Pharynx,2017,Male and Female,All Races,3.1,142,3932640
Maryland,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,177,6024891
North Carolina,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,328,10270800
South Dakota,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.8,29,873286
Missouri,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,211,6108612
Maine,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.1,46,1335063
Kansas,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,97,2910689
Hawaii,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.7,53,1424203
District of Columbia,Oral Cavity and Pharynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
North Dakota,Oral Cavity and Pharynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
Delaware,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.8,38,957078
Nebraska,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,57,1917575
Arkansas,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.9,107,3002997
Iowa,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.9,119,3143637
Wisconsin,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,202,5792051
Pennsylvania,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.5,436,12790447
Kentucky,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.9,163,4453874
Alabama,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.8,178,4875120
South Carolina,Oral Cavity and Pharynx,2017,Male and Female,All Races,3,194,5021219
Louisiana,Oral Cavity and Pharynx,2017,Male and Female,All Races,3.1,176,4670818
Vermont,Oral Cavity and Pharynx,2017,Male and Female,All Races,1.8,16,624525
Arizona,Oral Cavity and Pharynx,2017,Male and Female,All Races,2,181,7048876
Ohio,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.8,422,11664129
New Jersey,Oral Cavity and Pharynx,2017,Male and Female,All Races,1.8,209,8888543
New Hampshire,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.9,53,1349767
New York,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.2,542,19590719
Illinois,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,412,12786196
Indiana,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.8,226,6660082
Michigan,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.6,340,9976447
Massachusetts,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.4,209,6863246
Connecticut,Oral Cavity and Pharynx,2017,Male and Female,All Races,2.1,99,3573880
Nevada,Ovary,2017,Female,All Races,7.2,130,1481115
Idaho,Ovary,2017,Female,All Races,6.2,68,857853
Wyoming,Ovary,2017,Female,All Races,8.3,31,283606
Colorado,Ovary,2017,Female,All Races,5.9,192,2789162
Georgia,Ovary,2017,Female,All Races,6.3,388,5346767
Montana,Ovary,2017,Female,All Races,6.1,45,522925
Texas,Ovary,2017,Female,All Races,6.1,927,14250938
New Mexico,Ovary,2017,Female,All Races,6.8,97,1057085
Utah,Ovary,2017,Female,All Races,7.3,101,1540313
California,Ovary,2017,Female,All Races,6.8,1635,19817679
Alaska,Ovary,2017,Female,All Races,4.4,17,353363
Oregon,Ovary,2017,Female,All Races,8.4,238,2091356
Virginia,Ovary,2017,Female,All Races,7.1,392,4299620
Mississippi,Ovary,2017,Female,All Races,7,141,1539413
West Virginia,Ovary,2017,Female,All Races,7.1,97,917552
Washington,Ovary,2017,Female,All Races,6.7,311,3711772
Tennessee,Ovary,2017,Female,All Races,7,321,3435687
Rhode Island,Ovary,2017,Female,All Races,7.1,55,542930
Minnesota,Ovary,2017,Female,All Races,5.8,217,2795630
Florida,Ovary,2017,Female,All Races,6.2,1022,10720481
Oklahoma,Ovary,2017,Female,All Races,8.1,204,1984478
Maryland,Ovary,2017,Female,All Races,6.1,245,3104138
North Carolina,Ovary,2017,Female,All Races,6.3,440,5272479
South Dakota,Ovary,2017,Female,All Races,9.5,51,432265
Missouri,Ovary,2017,Female,All Races,6,252,3109948
Maine,Ovary,2017,Female,All Races,7.5,82,681341
Kansas,Ovary,2017,Female,All Races,7.1,139,1460471
Hawaii,Ovary,2017,Female,All Races,4.2,43,710021
District of Columbia,Ovary,2017,Female,All Races,6.3,24,365633
North Dakota,Ovary,2017,Female,All Races,5.3,26,368134
Delaware,Ovary,2017,Female,All Races,6.3,46,494227
Nebraska,Ovary,2017,Female,All Races,7.3,89,960319
Arkansas,Ovary,2017,Female,All Races,7.7,155,1527580
Iowa,Ovary,2017,Female,All Races,7.2,159,1579859
Wisconsin,Ovary,2017,Female,All Races,6.3,258,2911661
Pennsylvania,Ovary,2017,Female,All Races,7,678,6526911
Kentucky,Ovary,2017,Female,All Races,5.9,171,2259543
Alabama,Ovary,2017,Female,All Races,6.8,233,2516043
South Carolina,Ovary,2017,Female,All Races,5.4,188,2585760
Louisiana,Ovary,2017,Female,All Races,6,181,2388820
Vermont,Ovary,2017,Female,All Races,6.3,28,316120
Arizona,Ovary,2017,Female,All Races,6.6,311,3544856
Ohio,Ovary,2017,Female,All Races,6.5,547,5947760
New Jersey,Ovary,2017,Female,All Races,6.7,418,4548298
New Hampshire,Ovary,2017,Female,All Races,7.4,72,681409
New York,Ovary,2017,Female,All Races,6.5,890,10079494
Illinois,Ovary,2017,Female,All Races,7.1,597,6504145
Indiana,Ovary,2017,Female,All Races,7,308,3376776
Massachusetts,Ovary,2017,Female,All Races,7.1,337,3532186
Michigan,Ovary,2017,Female,All Races,6.3,441,5065155
Connecticut,Ovary,2017,Female,All Races,5.8,155,1830414
Nevada,Pancreas,2017,Male and Female,All Races,11,380,2972405
Idaho,Pancreas,2017,Male and Female,All Races,12.3,244,1718904
Wyoming,Pancreas,2017,Male and Female,All Races,10.4,74,578934
Colorado,Pancreas,2017,Male and Female,All Races,8.9,551,5615902
Georgia,Pancreas,2017,Male and Female,All Races,10.4,1156,10413055
Montana,Pancreas,2017,Male and Female,All Races,10.3,153,1053090
Texas,Pancreas,2017,Male and Female,All Races,10.1,2815,28322717
New Mexico,Pancreas,2017,Male and Female,All Races,9.9,268,2093395
Utah,Pancreas,2017,Male and Female,All Races,8.7,232,3103118
California,Pancreas,2017,Male and Female,All Races,10.4,4526,39399349
Alaska,Pancreas,2017,Male and Female,All Races,9.3,61,739786
Oregon,Pancreas,2017,Male and Female,All Races,12.2,640,4146592
Virginia,Pancreas,2017,Male and Female,All Races,11.4,1139,8465207
Mississippi,Pancreas,2017,Male and Female,All Races,13.2,477,2989663
West Virginia,Pancreas,2017,Male and Female,All Races,10.6,277,1817048
Washington,Pancreas,2017,Male and Female,All Races,11,945,7425432
Tennessee,Pancreas,2017,Male and Female,All Races,11.2,935,6708794
Rhode Island,Pancreas,2017,Male and Female,All Races,11,154,1056486
Minnesota,Pancreas,2017,Male and Female,All Races,11.6,777,5568155
Florida,Pancreas,2017,Male and Female,All Races,10.4,3289,20976812
Oklahoma,Pancreas,2017,Male and Female,All Races,11.1,518,3932640
Maryland,Pancreas,2017,Male and Female,All Races,11.2,802,6024891
North Carolina,Pancreas,2017,Male and Female,All Races,10.8,1365,10270800
South Dakota,Pancreas,2017,Male and Female,All Races,11.5,124,873286
Missouri,Pancreas,2017,Male and Female,All Races,11.5,904,6108612
Maine,Pancreas,2017,Male and Female,All Races,11.7,240,1335063
Kansas,Pancreas,2017,Male and Female,All Races,10.4,372,2910689
Hawaii,Pancreas,2017,Male and Female,All Races,11.8,225,1424203
District of Columbia,Pancreas,2017,Male and Female,All Races,11.1,76,695691
North Dakota,Pancreas,2017,Male and Female,All Races,11.9,104,755176
Delaware,Pancreas,2017,Male and Female,All Races,12.1,161,957078
Nebraska,Pancreas,2017,Male and Female,All Races,12,274,1917575
Arkansas,Pancreas,2017,Male and Female,All Races,11.2,423,3002997
Iowa,Pancreas,2017,Male and Female,All Races,11.2,462,3143637
Wisconsin,Pancreas,2017,Male and Female,All Races,11.5,858,5792051
Pennsylvania,Pancreas,2017,Male and Female,All Races,12.3,2203,12790447
Kentucky,Pancreas,2017,Male and Female,All Races,10.7,593,4453874
Alabama,Pancreas,2017,Male and Female,All Races,11.6,714,4875120
South Carolina,Pancreas,2017,Male and Female,All Races,11.8,768,5021219
Louisiana,Pancreas,2017,Male and Female,All Races,12.3,672,4670818
Vermont,Pancreas,2017,Male and Female,All Races,11,101,624525
Arizona,Pancreas,2017,Male and Female,All Races,10.2,923,7048876
Ohio,Pancreas,2017,Male and Female,All Races,12.2,1854,11664129
New Jersey,Pancreas,2017,Male and Female,All Races,11.9,1336,8888543
New Hampshire,Pancreas,2017,Male and Female,All Races,10.2,189,1349767
New York,Pancreas,2017,Male and Female,All Races,11.2,2785,19590719
Illinois,Pancreas,2017,Male and Female,All Races,11.3,1734,12786196
Indiana,Pancreas,2017,Male and Female,All Races,12.1,955,6660082
Massachusetts,Pancreas,2017,Male and Female,All Races,11.5,1003,6863246
Michigan,Pancreas,2017,Male and Female,All Races,12.8,1661,9976447
Connecticut,Pancreas,2017,Male and Female,All Races,10.8,519,3573880
Wyoming,Prostate,2017,Male,All Races,13.2,41,295328
Nevada,Prostate,2017,Male,All Races,17.8,259,1491290
Texas,Prostate,2017,Male,All Races,17.8,1938,14071779
Idaho,Prostate,2017,Male,All Races,20,164,861051
Colorado,Prostate,2017,Male,All Races,21.8,509,2826740
New Mexico,Prostate,2017,Male,All Races,19.4,218,1036310
Utah,Prostate,2017,Male,All Races,19.7,212,1562805
Montana,Prostate,2017,Male,All Races,26.2,160,530165
Alaska,Prostate,2017,Male,All Races,17,39,386423
Georgia,Prostate,2017,Male,All Races,21.5,895,5066288
Oregon,Prostate,2017,Male,All Races,19.8,441,2055236
Mississippi,Prostate,2017,Male,All Races,26.4,373,1450250
West Virginia,Prostate,2017,Male,All Races,16.4,177,899496
Rhode Island,Prostate,2017,Male,All Races,20.4,116,513556
Oklahoma,Prostate,2017,Male,All Races,20.1,388,1948162
Maryland,Prostate,2017,Male,All Races,19.6,555,2920753
Tennessee,Prostate,2017,Male,All Races,20.1,644,3273107
Missouri,Prostate,2017,Male,All Races,16.9,537,2998664
California,Prostate,2017,Male,All Races,19.2,3468,19581670
Florida,Prostate,2017,Male,All Races,16.8,2409,10256331
South Dakota,Prostate,2017,Male,All Races,15.6,71,441021
Virginia,Prostate,2017,Male,All Races,19.8,775,4165587
Washington,Prostate,2017,Male,All Races,19.3,677,3713660
District of Columbia,Prostate,2017,Male,All Races,22.3,57,330058
North Dakota,Prostate,2017,Male,All Races,20.2,79,387042
Minnesota,Prostate,2017,Male,All Races,20.5,582,2772525
Hawaii,Prostate,2017,Male,All Races,14.5,128,714182
Arkansas,Prostate,2017,Male,All Races,17.2,267,1475417
Kansas,Prostate,2017,Male,All Races,18.3,273,1450218
North Carolina,Prostate,2017,Male,All Races,18.7,910,4998321
Pennsylvania,Prostate,2017,Male,All Races,18.3,1347,6263536
Iowa,Prostate,2017,Male,All Races,20,348,1563778
Kentucky,Prostate,2017,Male,All Races,19.2,404,2194331
Maine,Prostate,2017,Male,All Races,19.7,167,653722
South Carolina,Prostate,2017,Male,All Races,21.7,557,2435459
Alabama,Prostate,2017,Male,All Races,19.3,464,2359077
Vermont,Prostate,2017,Male,All Races,19.4,70,308405
Arizona,Prostate,2017,Male,All Races,16.6,663,3504020
Ohio,Prostate,2017,Male,All Races,19.5,1211,5716369
New Jersey,Prostate,2017,Male,All Races,17.2,767,4340245
Delaware,Prostate,2017,Male,All Races,14.9,82,462851
New Hampshire,Prostate,2017,Male,All Races,19.9,147,668358
Nebraska,Prostate,2017,Male,All Races,18.3,179,957256
New York,Prostate,2017,Male,All Races,18.1,1812,9511225
Wisconsin,Prostate,2017,Male,All Races,20.9,641,2880390
Illinois,Prostate,2017,Male,All Races,20.6,1273,6282051
Indiana,Prostate,2017,Male,All Races,18.9,594,3283306
Louisiana,Prostate,2017,Male,All Races,21.3,461,2281998
Massachusetts,Prostate,2017,Male,All Races,18.2,640,3331060
Michigan,Prostate,2017,Male,All Races,17.6,924,4911292
Connecticut,Prostate,2017,Male,All Races,19.1,373,1743466
Nevada,Stomach,2017,Male and Female,All Races,2.5,85,2972405
Idaho,Stomach,2017,Male and Female,All Races,2,40,1718904
Wyoming,Stomach,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Stomach,2017,Male and Female,All Races,2.4,141,5615902
Georgia,Stomach,2017,Male and Female,All Races,2.7,302,10413055
Montana,Stomach,2017,Male and Female,All Races,2,26,1053090
Texas,Stomach,2017,Male and Female,All Races,3.5,956,28322717
New Mexico,Stomach,2017,Male and Female,All Races,3.8,101,2093395
Utah,Stomach,2017,Male and Female,All Races,2.5,62,3103118
California,Stomach,2017,Male and Female,All Races,3.8,1640,39399349
Alaska,Stomach,2017,Male and Female,All Races,3.7,26,739786
Oregon,Stomach,2017,Male and Female,All Races,1.9,97,4146592
Virginia,Stomach,2017,Male and Female,All Races,3.1,298,8465207
Mississippi,Stomach,2017,Male and Female,All Races,3,105,2989663
West Virginia,Stomach,2017,Male and Female,All Races,2.4,60,1817048
Washington,Stomach,2017,Male and Female,All Races,2.8,240,7425432
Tennessee,Stomach,2017,Male and Female,All Races,2.5,199,6708794
Rhode Island,Stomach,2017,Male and Female,All Races,2.5,33,1056486
Minnesota,Stomach,2017,Male and Female,All Races,2.2,144,5568155
Florida,Stomach,2017,Male and Female,All Races,2.7,789,20976812
Oklahoma,Stomach,2017,Male and Female,All Races,2.5,114,3932640
Maryland,Stomach,2017,Male and Female,All Races,2.7,190,6024891
North Carolina,Stomach,2017,Male and Female,All Races,2.9,349,10270800
South Dakota,Stomach,2017,Male and Female,All Races,2,20,873286
Missouri,Stomach,2017,Male and Female,All Races,2.2,164,6108612
Maine,Stomach,2017,Male and Female,All Races,1.5,30,1335063
Kansas,Stomach,2017,Male and Female,All Races,2.1,70,2910689
Hawaii,Stomach,2017,Male and Female,All Races,3.4,69,1424203
District of Columbia,Stomach,2017,Male and Female,All Races,3.3,22,695691
North Dakota,Stomach,2017,Male and Female,All Races,2.4,21,755176
Delaware,Stomach,2017,Male and Female,All Races,3.1,40,957078
Nebraska,Stomach,2017,Male and Female,All Races,2.6,56,1917575
Arkansas,Stomach,2017,Male and Female,All Races,2.8,102,3002997
Iowa,Stomach,2017,Male and Female,All Races,2,79,3143637
Wisconsin,Stomach,2017,Male and Female,All Races,2.3,169,5792051
Pennsylvania,Stomach,2017,Male and Female,All Races,2.7,455,12790447
Alabama,Stomach,2017,Male and Female,All Races,2.9,177,4875120
Kentucky,Stomach,2017,Male and Female,All Races,2.8,153,4453874
South Carolina,Stomach,2017,Male and Female,All Races,3.3,207,5021219
Louisiana,Stomach,2017,Male and Female,All Races,3.2,174,4670818
Vermont,Stomach,2017,Male and Female,All Races,2.6,23,624525
Arizona,Stomach,2017,Male and Female,All Races,2.4,204,7048876
Ohio,Stomach,2017,Male and Female,All Races,2.5,364,11664129
New Jersey,Stomach,2017,Male and Female,All Races,3.1,338,8888543
New Hampshire,Stomach,2017,Male and Female,All Races,2.1,37,1349767
New York,Stomach,2017,Male and Female,All Races,3.4,805,19590719
Illinois,Stomach,2017,Male and Female,All Races,3.2,486,12786196
Indiana,Stomach,2017,Male and Female,All Races,2.1,166,6660082
Massachusetts,Stomach,2017,Male and Female,All Races,3.2,269,6863246
Michigan,Stomach,2017,Male and Female,All Races,2.3,292,9976447
Connecticut,Stomach,2017,Male and Female,All Races,3.3,159,3573880
Nevada,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1491290
Idaho,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,861051
Wyoming,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,295328
Colorado,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2826740
Georgia,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,5066288
Texas,Testis,2017,Male,All Races,0.3,44,14071779
Montana,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,530165
New Mexico,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1036310
Utah,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1562805
California,Testis,2017,Male,All Races,0.4,76,19581670
Alaska,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,386423
Oregon,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2055236
Virginia,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,4165587
Mississippi,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1450250
West Virginia,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,899496
Washington,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,3713660
Tennessee,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,3273107
Rhode Island,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,513556
Minnesota,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2772525
Oklahoma,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1948162
Florida,Testis,2017,Male,All Races,0.2,25,10256331
Maryland,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2920753
North Carolina,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,4998321
South Dakota,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,441021
Missouri,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2998664
Maine,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,653722
Kansas,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1450218
Hawaii,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,714182
District of Columbia,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,330058
North Dakota,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,387042
Alabama,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2359077
Delaware,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,462851
Nebraska,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,957256
Arkansas,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1475417
Iowa,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1563778
Wisconsin,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2880390
Pennsylvania,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,6263536
Kentucky,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2194331
South Carolina,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2435459
Louisiana,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,2281998
Arizona,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,3504020
Vermont,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,308405
Ohio,Testis,2017,Male,All Races,0.3,16,5716369
New Jersey,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,4340245
New Hampshire,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,668358
New York,Testis,2017,Male,All Races,0.2,22,9511225
Illinois,Testis,2017,Male,All Races,0.3,18,6282051
Indiana,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,3283306
Michigan,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,4911292
Massachusetts,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,3331060
Connecticut,Testis,2017,Male,All Races,Data Suppressed,Data Suppressed,1743466
Nevada,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2972405
Idaho,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1718904
Wyoming,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Thyroid,2017,Male and Female,All Races,0.7,38,5615902
Georgia,Thyroid,2017,Male and Female,All Races,0.4,47,10413055
Montana,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1053090
Texas,Thyroid,2017,Male and Female,All Races,0.5,134,28322717
New Mexico,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2093395
Utah,Thyroid,2017,Male and Female,All Races,0.6,17,3103118
California,Thyroid,2017,Male and Female,All Races,0.6,246,39399349
Alaska,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Thyroid,2017,Male and Female,All Races,0.5,30,4146592
Virginia,Thyroid,2017,Male and Female,All Races,0.4,42,8465207
Mississippi,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2989663
West Virginia,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1817048
Washington,Thyroid,2017,Male and Female,All Races,0.4,37,7425432
Tennessee,Thyroid,2017,Male and Female,All Races,0.6,49,6708794
Rhode Island,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1056486
Minnesota,Thyroid,2017,Male and Female,All Races,0.4,28,5568155
Florida,Thyroid,2017,Male and Female,All Races,0.4,132,20976812
Oklahoma,Thyroid,2017,Male and Female,All Races,0.4,19,3932640
Maryland,Thyroid,2017,Male and Female,All Races,0.4,31,6024891
North Carolina,Thyroid,2017,Male and Female,All Races,0.5,66,10270800
South Dakota,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,873286
Missouri,Thyroid,2017,Male and Female,All Races,0.4,33,6108612
Maine,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1335063
Kansas,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2910689
Hawaii,Thyroid,2017,Male and Female,All Races,1.1,19,1424203
District of Columbia,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
Alabama,Thyroid,2017,Male and Female,All Races,0.3,20,4875120
North Dakota,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
Delaware,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,957078
Nebraska,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1917575
Arkansas,Thyroid,2017,Male and Female,All Races,0.4,16,3002997
Iowa,Thyroid,2017,Male and Female,All Races,0.5,21,3143637
Wisconsin,Thyroid,2017,Male and Female,All Races,0.7,49,5792051
Pennsylvania,Thyroid,2017,Male and Female,All Races,0.5,85,12790447
Kentucky,Thyroid,2017,Male and Female,All Races,0.4,25,4453874
South Carolina,Thyroid,2017,Male and Female,All Races,0.4,25,5021219
Louisiana,Thyroid,2017,Male and Female,All Races,0.5,29,4670818
Arizona,Thyroid,2017,Male and Female,All Races,0.4,38,7048876
Vermont,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,624525
Ohio,Thyroid,2017,Male and Female,All Races,0.4,62,11664129
New Jersey,Thyroid,2017,Male and Female,All Races,0.5,59,8888543
New Hampshire,Thyroid,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1349767
New York,Thyroid,2017,Male and Female,All Races,0.5,128,19590719
Illinois,Thyroid,2017,Male and Female,All Races,0.5,75,12786196
Indiana,Thyroid,2017,Male and Female,All Races,0.5,38,6660082
